"file","phase","seed","condition","path","Expressivity","Systematicity","Learnability","Learnability.sd","mean.word.length","distinctiveness"
"PH3_8_16_105943_CH1_parent-PH2_6_9_095038_CH1_parent-Start_4","PH3","Start_4","Learnability","../Backups/ILMLEX_Backups_Nov2016/results/PH3_8_16_105943_CH1_parent-PH2_6_9_095038_CH1_parent-Start_4",0.8125,0.215652812456328,NA,NA,10.125,0.470970117845118
"PH3_8_16_125434_CH2_parent-PH2_6_23_094112_CH1_parent-Start_4","PH3","Start_4","Learnability","../Backups/ILMLEX_Backups_Nov2016/results/PH3_8_16_125434_CH2_parent-PH2_6_23_094112_CH1_parent-Start_4",0.8125,0.273622418345493,NA,NA,9.125,0.708911586099086
"PH3_8_18_095906_CH1_parent-PH2_8_9_130358_CH1_parent-Start_4","PH3","Start_4","Learnability","../Backups/ILMLEX_Backups_Nov2016/results/PH3_8_18_095906_CH1_parent-PH2_8_9_130358_CH1_parent-Start_4",0.6875,0.202654161200393,NA,NA,6.4375,0.671782407407407
"PH3_8_18_101955_CH1_parent-PH1_5_19_111631_CH2_parent-Start_4","PH3","Start_4","Learnability","../Backups/ILMLEX_Backups_Nov2016/results/PH3_8_18_101955_CH1_parent-PH1_5_19_111631_CH2_parent-Start_4",0.875,0.360800691098218,NA,NA,10.875,0.723131590631591
"PH3_8_18_112916_CH1_parent-PH1_6_14_114615_CH1_parent-Start_4","PH3","Start_4","Learnability","../Backups/ILMLEX_Backups_Nov2016/results/PH3_8_18_112916_CH1_parent-PH1_6_14_114615_CH1_parent-Start_4",0.625,0.319373493668595,NA,NA,5.625,0.649722222222222
"PH3_8_18_123040_CH1_parent-PH1_6_28_095126_CH1_parent-Start_4","PH3","Start_4","Learnability","../Backups/ILMLEX_Backups_Nov2016/results/PH3_8_18_123040_CH1_parent-PH1_6_28_095126_CH1_parent-Start_4",0.875,0.217785544363542,NA,NA,9,0.792075193325193
"PH3_8_23_095901_CH1_parent-PH1_8_9_120335_CH1_parent-Start_4","PH3","Start_4","Learnability","../Backups/ILMLEX_Backups_Nov2016/results/PH3_8_23_095901_CH1_parent-PH1_8_9_120335_CH1_parent-Start_4",1,0.358074774339273,NA,NA,22.375,0.623219115142683
"PH3_8_23_103135_CH1_parent-PH1_3_8_105005_CH1_parent-Start_4","PH3","Start_4","Learnability","../Backups/ILMLEX_Backups_Nov2016/results/PH3_8_23_103135_CH1_parent-PH1_3_8_105005_CH1_parent-Start_4",0.375,0.150090742275239,NA,NA,4.875,0.602777777777778
"PH3_8_23_130125_CH1_parent-PH1_3_8_105030_CH2_parent-Start_4","PH3","Start_4","Learnability","../Backups/ILMLEX_Backups_Nov2016/results/PH3_8_23_130125_CH1_parent-PH1_3_8_105030_CH2_parent-Start_4",0.5625,0.18861131352216,NA,NA,5.25,0.575694444444444
"PH3_8_26_115808_CH1_parent-PH1_3_8_105005_CH1_parent-Start_4","PH3","Start_4","Learnability","../Backups/ILMLEX_Backups_Nov2016/results/PH3_8_26_115808_CH1_parent-PH1_3_8_105005_CH1_parent-Start_4",0.5,0.0615072181079111,NA,NA,5.125,0.594444444444444
"PH3_8_26_115915_CH2_parent-PH1_3_8_105030_CH2_parent-Start_4","PH3","Start_4","Learnability","../Backups/ILMLEX_Backups_Nov2016/results/PH3_8_26_115915_CH2_parent-PH1_3_8_105030_CH2_parent-Start_4",0.5,0.289924797890676,NA,NA,5.625,0.5375
"PH3_8_26_130220_CH1_parent-PH1_3_10_102825_CH4_parent-Start_4","PH3","Start_4","Learnability","../Backups/ILMLEX_Backups_Nov2016/results/PH3_8_26_130220_CH1_parent-PH1_3_10_102825_CH4_parent-Start_4",0.75,0.147555833583705,NA,NA,6,0.584722222222222
"PH3_8_26_135917_CH1_parent-PH1_3_24_094856_CH4_parent-Start_4","PH3","Start_4","Learnability","../Backups/ILMLEX_Backups_Nov2016/results/PH3_8_26_135917_CH1_parent-PH1_3_24_094856_CH4_parent-Start_4",0.375,0.326057117537615,NA,NA,4.6875,0.630555555555556
"PH3_8_26_143312_CH1_parent-PH1_3_24_094856_CH4_parent-Start_4","PH3","Start_4","Learnability","../Backups/ILMLEX_Backups_Nov2016/results/PH3_8_26_143312_CH1_parent-PH1_3_24_094856_CH4_parent-Start_4",0.5625,0.193267241494118,NA,NA,4.75,0.617916666666667
"PH3_8_26_155900_CH1_parent-PH1_5_19_111631_CH2_parent-Start_4","PH3","Start_4","Learnability","../Backups/ILMLEX_Backups_Nov2016/results/PH3_8_26_155900_CH1_parent-PH1_5_19_111631_CH2_parent-Start_4",0.8125,0.153465394104002,NA,NA,11.8125,0.760965437068378
"PH3_8_26_161905_CH1_parent-PH1_6_14_114615_CH1_parent-Start_4","PH3","Start_4","Learnability","../Backups/ILMLEX_Backups_Nov2016/results/PH3_8_26_161905_CH1_parent-PH1_6_14_114615_CH1_parent-Start_4",0.8125,0.0602920009938814,NA,NA,5.25,0.591944444444444
"PH3_8_29_095642_CH1_parent-PH1_6_28_095126_CH1_parent-Start_4","PH3","Start_4","Learnability","../Backups/ILMLEX_Backups_Nov2016/results/PH3_8_29_095642_CH1_parent-PH1_6_28_095126_CH1_parent-Start_4",0.875,0.358795389069537,NA,NA,9.4375,0.782755138380138
"PH3_8_29_102914_CH1_parent-PH1_8_9_120335_CH1_parent-Start_4","PH3","Start_4","Learnability","../Backups/ILMLEX_Backups_Nov2016/results/PH3_8_29_102914_CH1_parent-PH1_8_9_120335_CH1_parent-Start_4",1,0.398094697657164,NA,NA,23.125,0.646213730562127
"PH3_8_29_110114_CH1_parent-PH1_5_19_111631_CH2_parent-Start_4","PH3","Start_4","Learnability","../Backups/ILMLEX_Backups_Nov2016/results/PH3_8_29_110114_CH1_parent-PH1_5_19_111631_CH2_parent-Start_4",1,0.379620699648492,NA,NA,11.1875,0.753384983072483
"PH3_8_29_110220_CH2_parent-PH2_6_9_095038_CH1_parent-Start_4","PH3","Start_4","Learnability","../Backups/ILMLEX_Backups_Nov2016/results/PH3_8_29_110220_CH2_parent-PH2_6_9_095038_CH1_parent-Start_4",0.8125,0.105849134927692,NA,NA,6.6875,0.754044312169312
"PH3_8_29_113136_CH1_parent-PH1_6_14_114615_CH1_parent-Start_4","PH3","Start_4","Learnability","../Backups/ILMLEX_Backups_Nov2016/results/PH3_8_29_113136_CH1_parent-PH1_6_14_114615_CH1_parent-Start_4",0.625,0.258334600996573,NA,NA,5.375,0.639444444444444
"PH3_8_29_115833_CH1_parent-PH1_6_28_095126_CH1_parent-Start_4","PH3","Start_4","Learnability","../Backups/ILMLEX_Backups_Nov2016/results/PH3_8_29_115833_CH1_parent-PH1_6_28_095126_CH1_parent-Start_4",0.8125,0.20052260261015,NA,NA,8.875,0.816369047619048
"PH3_8_29_132920_CH1_parent-PH1_8_9_120335_CH1_parent-Start_4","PH3","Start_4","Learnability","../Backups/ILMLEX_Backups_Nov2016/results/PH3_8_29_132920_CH1_parent-PH1_8_9_120335_CH1_parent-Start_4",1,0.372805828580404,NA,NA,22.625,0.648271700660528
"PH3_8_29_142805_CH1_parent-PH2_6_16_114047_CH1_parent-Start_4","PH3","Start_4","Learnability","../Backups/ILMLEX_Backups_Nov2016/results/PH3_8_29_142805_CH1_parent-PH2_6_16_114047_CH1_parent-Start_4",0.8125,0.158697285997541,NA,NA,11.3125,0.706533189033189
"PH3_8_31_093538_CH1_parent-PH2_6_23_094112_CH1_parent-Start_4","PH3","Start_4","Learnability","../Backups/ILMLEX_Backups_Nov2016/results/PH3_8_31_093538_CH1_parent-PH2_6_23_094112_CH1_parent-Start_4",1,0.346861209420195,NA,NA,8.9375,0.818834024091377
"PH3_8_31_095539_CH1_parent-PH2_6_9_095038_CH1_parent-Start_4","PH3","Start_4","Learnability","../Backups/ILMLEX_Backups_Nov2016/results/PH3_8_31_095539_CH1_parent-PH2_6_9_095038_CH1_parent-Start_4",1,0.0539532946738837,NA,NA,8.625,0.740610269360269
"PH3_8_31_123521_CH1_parent-PH2_8_9_130358_CH1_parent-Start_4","PH3","Start_4","Learnability","../Backups/ILMLEX_Backups_Nov2016/results/PH3_8_31_123521_CH1_parent-PH2_8_9_130358_CH1_parent-Start_4",0.9375,-0.0273338504856408,NA,NA,7.125,0.728125
"PH3_8_31_125954_CH1_parent-PH2_6_23_094112_CH1_parent-Start_4","PH3","Start_4","Learnability","../Backups/ILMLEX_Backups_Nov2016/results/PH3_8_31_125954_CH1_parent-PH2_6_23_094112_CH1_parent-Start_4",1,0.347710487425697,NA,NA,9.875,0.713106696544197
"PH3_8_31_133157_CH1_parent-PH2_6_16_114047_CH1_parent-Start_4","PH3","Start_4","Learnability","../Backups/ILMLEX_Backups_Nov2016/results/PH3_8_31_133157_CH1_parent-PH2_6_16_114047_CH1_parent-Start_4",0.875,0.104796039594255,NA,NA,6.3125,0.796498015873016
"PH3_8_31_150325_CH1_parent-PH2_8_9_130358_CH1_parent-Start_4","PH3","Start_4","Learnability","../Backups/ILMLEX_Backups_Nov2016/results/PH3_8_31_150325_CH1_parent-PH2_8_9_130358_CH1_parent-Start_4",1,-0.0270520912490981,NA,NA,6.625,0.745446428571429
